cliff,abundancet1.1,abundancet1.2,abundancet1.3,abundancet1.4,abundancet1.5,abundancet1.6,abundancet1.7,abundancet1.8,abundancet1.9,abundancet1.10,abundancet1.11,abundancet1.12,abundancet1.13,abundancet1.14,abundancet1.15,abundancet1.16,abundancet1.17,abundancet1.18,abundancet1.19,abundancet1.20,abundancet1.21,
1a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-1,-1,-1,-1,
2a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-1,-1,-1,-1,-1,-0.6,-0.6,
3a,-1,-1,-1,-1,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,
4a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-1,-0.6,-0.6,
5a,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-1,-1,-1,-0.6,-0.6,
6a,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,
7a,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,
8a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-1,-1,
9a,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-1,-0.6,-0.6,
10a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
11a,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-1,-0.6,-0.6,-0.6,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,
12a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
13a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
14a,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-1,
15a,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
16a,-1,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-0.8,-1,-1,-1,
17a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8,-0.8,-0.6,-0.8,-1,-0.6,-1,-1,-1,-1,-1,-1,
18a,-1,-1,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8,-1,-1,-1,-1,
19a,-1,-1,-1,-0.6,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-1,-1,-0.6,-0.6,-1,-0.6,-1,-0.6,-0.6,
20a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-1,-1,-0.6,-1,-1,-1,-1,
21a,-1,-1,-1,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
22a,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-1,-1,-1,-1,-1,-0.6,-1,-1,-1,-1,-0.6,-0.6,-0.8,
23a,-1,-1,-1,-1,-1,-0.8,-1,-1,-1,-1,-1,-0.6,-0.6,-1,-0.6,-0.6,-0.6,-0.6,-1,-1,-1,
24a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-1,-1,-1,
25a,-1,-1,-1,-1,-0.6,-0.6,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,
26a,-0.6,-0.6,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,
27a,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,
28a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-1,-0.6,-0.6,-0.6,
29a,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-1,-0.6,-1,-0.8,-1,
30a,-1,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-0.8,-0.6,-0.6,-1,-0.6,-0.6,-0.6,-0.6,-1,-1,-0.6,-0.6,
31a,-0.8,-0.6,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-1,-1,
32a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
33a,-1,-0.6,-0.6,-0.6,-0.6,-1,-1,-0.8,-0.2,0.2,0.2,0.2,0.2,0,-0.2,-0.2,-0.2,-0.2,-0.6,-0.2,-0.2,
34a,-1,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
35a,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,
36a,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,
37a,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,-0.6,-0.6,
38a,-0.6,-0.6,-1,-0.6,-0.6,-0.6,-0.6,-0.2,-0.2,-0.2,-0.2,-0.6,-0.2,-0.4,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,
39a,-0.6,-1,-1,-0.6,-0.6,-1,-0.6,-1,-1,-1,-1,-0.6,-1,-1,-1,-0.6,-0.6,-0.6,-0.8,-0.6,-0.6,
40a,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,
41a,-0.6,-0.6,-0.6,-0.6,-0.4,-0.6,-0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.2,0,0.2,-0.2,0.2,0,0,
42a,-0.6,-0.2,-0.2,-0.4,-0.8,-0.4,-0.6,0,-0.2,-0.6,0.2,-0.2,0.2,0.2,0.2,-0.2,0.2,0.4,-0.2,0.2,-0.2,
43a,-1,-1,-1,-0.6,-0.6,-0.2,-0.6,-0.2,-0.2,-0.4,-0.2,-0.4,-0.6,-0.2,-0.6,-0.6,-0.6,-0.2,-0.2,-0.6,-0.2,
44a,-0.8,-0.6,-0.6,-0.6,-1,-1,-0.6,-0.6,-0.6,-0.4,-0.6,-0.6,-0.6,-0.2,-0.4,-0.2,-0.6,-0.6,-0.6,-0.2,-0.2,
45a,-0.6,-0.6,-0.6,-0.2,-0.2,-0.6,-0.6,-0.2,0,-0.2,-0.4,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,
46a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-0.8,-1,-1,-1,
47a,-0.4,-0.4,-0.8,-0.6,-0.2,0.2,0.2,0.6,0.6,0.8,0.6,0.4,0,0.4,1,0.4,0.6,0.6,0.6,0,0.6,
48a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-1,
49a,-0.6,-0.4,-0.6,-0.6,-0.6,-0.6,-0.2,0.2,0.2,0,0.2,-0.2,0.6,0.2,-0.6,-0.6,-0.2,-0.2,0.2,-0.2,0.2,
50a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-1,-1,-0.6,-0.6,-1,-1,-0.6,-0.6,-0.6,
51a,-0.6,-0.6,-0.6,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-1,-0.6,-1,-1,-1,-1,
52a,-0.8,-1,-1,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-1,-0.6,-1,-1,-1,
53a,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-0.4,-0.8,-0.6,-0.6,-0.2,-0.4,-0.6,-0.6,0.2,-0.2,
54a,-0.6,-0.6,-0.6,-0.6,-1,-1,-0.6,-0.6,-0.6,-0.6,-1,-0.6,-0.6,-0.6,-0.6,-0.8,-1,-0.6,-0.6,-1,-0.6,
55a,-1,-0.6,-1,-1,-0.6,-1,-1,-0.6,-0.6,-0.6,-0.2,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-0.8,-0.2,
56a,-1,-1,-0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8,-0.6,-0.8,-1,-1,-1,-0.6,-0.6,-0.6,
57a,-1,-1,-0.6,-1,-1,-0.8,-1,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-0.8,-0.6,-1,-1,-0.6,-0.6,
58a,-1,-1,-1,-0.6,-0.6,-1,-0.4,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.2,-0.2,-0.6,-0.2,
59a,0.2,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,-0.6,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0,-0.2,-0.6,-0.2,
60a,-1,-1,-0.6,-0.6,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,-0.4,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,
61a,-0.6,-0.6,-0.6,-0.6,-0.6,-1,-1,-1,-1,-0.6,-1,-0.6,-1,-1,-1,-1,-0.8,-0.6,-0.6,-0.6,-0.8,
62a,-0.6,-1,-1,-1,-1,-0.6,-0.6,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,
63a,-1,-0.6,-0.2,-0.2,-0.6,-0.6,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.4,-0.4,
64a,-0.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,
65a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8,-1,-1,
66a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,-0.8,-0.8,
67a,-1,-0.8,-0.6,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-1,-1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,
