cliff,gyrdistance.1,gyrdistance.2,gyrdistance.3,gyrdistance.4,gyrdistance.5,gyrdistance.6,gyrdistance.7,gyrdistance.8,gyrdistance.9,gyrdistance.10,gyrdistance.11,gyrdistance.12,gyrdistance.13,gyrdistance.14,gyrdistance.15,gyrdistance.16,gyrdistance.17,gyrdistance.18,gyrdistance.19,gyrdistance.20,gyrdistance.21
1a,-0.916666667,-0.85,-0.9,-0.908333333,-0.85,-0.783333333,-0.966666667,-0.783333333,-0.851666667,-0.966666667,-0.89,-0.966666667,-0.966666667,-0.846666667,-0.783333333,0.566666667,-0.005,-0.853333333,1,-0.856666667,-0.855
2a,-0.983333333,-0.95,-1,-0.991666667,-0.95,-0.883333333,-0.956666667,-0.883333333,-0.951666667,-0.99,-0.99,-0.941666667,-0.883333333,-0.946666667,-0.883333333,0.466666667,-0.105,-0.953333333,0.9,-0.956666667,-0.955
3a,-0.94,-0.993333333,-0.943333333,-0.935,-0.993333333,-0.94,-0.986666667,-0.94,-0.991666667,-0.953333333,-0.953333333,-0.998333333,-0.94,-0.996666667,-0.94,0.41,-0.161666667,-0.99,0.843333333,-0.986666667,-0.988333333
4a,-1,-0.95,-0.883333333,-0.966666667,-0.958333333,-1,-0.996666667,-1,-0.995,-0.9,-1,-1,-1,-0.936666667,-1,0.35,-0.221666667,-0.93,0.783333333,-0.961666667,-0.928333333
5a,-0.966666667,-0.983333333,-0.85,-1,-0.991666667,-0.966666667,-0.97,-0.966666667,-0.971666667,-0.933333333,-0.966666667,-0.966666667,-0.966666667,-0.946666667,-0.966666667,0.316666667,-0.255,-0.896666667,0.75,-0.995,-0.895
6a,-0.9,-0.95,-0.783333333,-0.933333333,-0.941666667,-0.9,-0.903333333,-0.9,-0.998333333,-1,-0.9,-0.9,-0.923333333,-0.986666667,-0.9,0.25,-0.321666667,-0.83,0.683333333,-0.938333333,-0.828333333
7a,-0.95,-0.916666667,-0.65,-0.95,-0.933333333,-0.766666667,-0.905,-0.996666667,-0.998333333,-0.996666667,-1,-0.766666667,-0.943333333,-0.941666667,-1,0.116666667,-0.455,-0.933333333,0.55,-0.95,-0.95
8a,-1,-0.966666667,-0.6,-1,-0.983333333,-0.716666667,-0.955,-0.996666667,-0.955,-0.953333333,-0.95,-0.716666667,-0.893333333,-0.891666667,-0.95,0.066666667,-0.505,-0.983333333,0.5,-1,-1
9a,-0.956666667,-0.99,-0.556666667,-0.956666667,-0.973333333,-0.673333333,-0.998333333,-0.96,-0.998333333,-0.91,-0.906666667,-0.673333333,-0.85,-0.848333333,-0.906666667,0.023333333,-0.548333333,-0.973333333,0.456666667,-0.956666667,-0.956666667
10a,-0.891666667,-0.925,-0.558333333,-0.891666667,-0.908333333,-0.616666667,-0.936666667,-0.895,-0.936666667,-0.845,-0.841666667,-0.608333333,-0.785,-0.783333333,-0.841666667,-0.041666667,-0.613333333,-0.908333333,0.391666667,-0.891666667,-0.891666667
11a,-0.766666667,-0.8,-0.683333333,-0.766666667,-0.783333333,-0.741666667,-0.811666667,-0.77,-0.811666667,-0.72,-0.716666667,-0.483333333,-0.66,-0.658333333,-0.716666667,-0.166666667,-0.738333333,-0.783333333,0.266666667,-0.766666667,-0.766666667
12a,-0.855,-0.805,-0.788333333,-0.871666667,-0.678333333,-0.846666667,-0.783333333,-0.786666667,-0.853333333,-0.786666667,-0.788333333,-0.378333333,-0.555,-0.553333333,-0.611666667,-0.271666667,-0.843333333,-0.678333333,0.161666667,-0.871666667,-0.855
13a,-0.958333333,-0.908333333,-0.891666667,-0.975,-0.575,-0.95,-0.886666667,-0.89,-0.956666667,-0.89,-0.891666667,-0.275,-0.451666667,-0.45,-0.508333333,-0.375,-0.946666667,-0.575,0.058333333,-0.975,-0.958333333
14a,-0.99,-0.96,-0.943333333,-0.973333333,-0.523333333,-0.998333333,-0.938333333,-0.941666667,-0.991666667,-0.941666667,-0.943333333,-0.223333333,-0.4,-0.416666667,-0.456666667,-0.426666667,-0.998333333,-0.523333333,0.006666667,-0.973333333,-0.99
15a,-0.866666667,-0.916666667,-0.933333333,-0.85,-0.45,-0.875,-0.938333333,-0.966666667,-0.936666667,-1,-0.933333333,-0.338333333,-0.276666667,-0.54,-0.333333333,-0.55,-0.878333333,-0.538333333,-0.116666667,-0.85,-0.866666667
16a,-0.806666667,-0.856666667,-0.873333333,-0.79,-0.51,-0.815,-0.878333333,-0.906666667,-0.876666667,-0.94,-0.873333333,-0.398333333,-0.216666667,-0.6,-0.273333333,-0.61,-0.818333333,-0.598333333,-0.176666667,-0.79,-0.806666667
17a,-0.871666667,-0.745,-0.761666667,-0.721666667,-0.621666667,-0.713333333,-0.766666667,-0.795,-0.765,-0.828333333,-0.761666667,-0.51,-0.11,-0.711666667,-0.161666667,-0.721666667,-0.706666667,-0.71,-0.288333333,-0.678333333,-0.695
