cliff,meltdate.1,meltdate.2,meltdate.3,meltdate.4,meltdate.5,meltdate.6,meltdate.7,meltdate.8,meltdate.9,meltdate.10,meltdate.11,meltdate.12,meltdate.13,meltdate.14,meltdate.15,meltdate.16,meltdate.17,meltdate.18,meltdate.19,meltdate.20,meltdate.21
1a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
2a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
3a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
4a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
5a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
6a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
7a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
8a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
9a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
10a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
11a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
12a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
13a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,0.08571
14a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
15a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,1.00000,0.54286,0.08571
16a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,1.00000,0.54286,-0.37143
17a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,0.08571
18a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,0.08571
19a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,1.00000,0.54286,0.08571
20a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
21a,-0.028571429,-0.428571429,0.2,-0.6,-0.028571429,-0.2,0.314285714,-0.085714286,-0.942857143,-0.485714286,-0.485714286,-0.257142857,-0.6,-0.6,-1,-0.028571429,-0.657142857,-0.028571429,0.54286,0.54286,-0.37143
