cliff,pdo.1,pdo.2,pdo.3,pdo.4,pdo.5,pdo.6,pdo.7,pdo.8,pdo.9,pdo.10,pdo.11,pdo.12,pdo.13,pdo.14,pdo.15,pdo.16,pdo.17,pdo.18,pdo.19,pdo.20,pdo.21
1a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
2a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
3a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
4a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
5a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
6a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
7a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
8a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
9a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
10a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
