cliff,precip.1,precip.2,precip.3,precip.4,precip.5,precip.6,precip.7,precip.8,precip.9,precip.10,precip.11,precip.12,precip.13,precip.14,precip.15,precip.16,precip.17,precip.18,precip.19,precip.20,precip.21
1a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
2a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
3a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
4a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
5a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
6a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
7a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
8a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
9a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
10a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
11a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
12a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
13a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
14a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
15a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
16a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
