cliff,productivityt1.1,productivityt1.2,productivityt1.3,productivityt1.4,productivityt1.5,productivityt1.6,productivityt1.7,productivityt1.8,productivityt1.9,productivityt1.10,productivityt1.11,productivityt1.12,productivityt1.13,productivityt1.14,productivityt1.15,productivityt1.16,productivityt1.17,productivityt1.18,productivityt1.19,productivityt1.20,productivityt1.21,
1a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
2a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
3a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,1,0,0.5,-1,
4a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0,
5a,-0.5,0.5,1,0.5,1,-1,0.5,-1,0,0,-0.5,0.5,0.5,-1,-0.5,0.5,-1,-1,-1,-0.5,-1,
6a,-1,-1,-1,-1,-1,-1,1,0.5,1,1,0.5,1,1,0.5,0,0.5,0.5,0.5,0,0.5,1,
7a,-1,0,1,-0.5,-1,0.5,0,0.5,-1,1,1,1,0,1,0.5,0,0,-1,0.5,-0.5,-1,
8a,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0.5,0,1,0.5,0.5,0,-1,0.5,-1,-1,
9a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,-1,-1,-0.5,-0.5,-1,-1,-1,1,
10a,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
11a,-1,-1,-1,-1,-1,-1,-1,-1,-0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
12a,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
13a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
14a,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-0.5,-1,-1,-1,-1,-1,-0.5,0.5,0,-0.5,-1,
15a,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
16a,-1,-1,-1,-1,-1,-1,-1,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
17a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,-1,-1,-1,-1,-1,-1,
