cliff,tmax.1,tmax.2,tmax.3,tmax.4,tmax.5,tmax.6,tmax.7,tmax.8,tmax.9,tmax.10,tmax.11,tmax.12,tmax.13,tmax.14,tmax.15,tmax.16,tmax.17,tmax.18,tmax.19,tmax.20,tmax.21
1a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
2a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
3a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
4a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
5a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
6a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
7a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
8a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
9a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
10a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
