cliff,visit.1,visit.2,visit.3,visit.4,visit.5,visit.6,visit.7,visit.8,visit.9,visit.10,visit.11,visit.12,visit.13,visit.14,visit.15,visit.16,visit.17,visit.18,visit.19,visit.20,visit.21,visit.22,visit.23,visit.24,visit.25,visit.26,visit.27,visit.28,visit.29,visit.30,visit.31,visit.32,visit.33,visit.34,visit.35,visit.36,visit.37,visit.38,visit.39,visit.40,visit.41,visit.42
1a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
2a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
3a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
4a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
5a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
6a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
7a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
8a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
9a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
10a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
11a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
12a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
13a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
14a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
15a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
16a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
17a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
18a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
19a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
20a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
21a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
22a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
23a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
24a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
25a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
26a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
27a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
28a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
29a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
30a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
31a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
32a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
33a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
34a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
35a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
36a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
37a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
38a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
39a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
40a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
41a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
42a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
43a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
44a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
45a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
46a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
47a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
48a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
49a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
50a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
51a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
52a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
53a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
54a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
55a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
56a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
57a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
58a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
59a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
60a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
61a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
62a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
63a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
64a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
65a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
66a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
67a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
68a,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two,one,two
