cliff,year.1,year.2,year.3,year.4,year.5,year.6,year.7,year.8,year.9,year.10,year.11,year.12,year.13,year.14,year.15,year.16,year.17,year.18,year.19,year.20,year.21
1a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
3a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
4a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
8a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
20a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
21a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
22a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
23a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
24a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
25a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
26a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
27a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
28a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
29a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
30a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
31a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
32a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
33a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
34a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
35a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
36a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
37a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
38a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
39a,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
