cliff,yearthreshold.1,yearthreshold.2,yearthreshold.3,yearthreshold.4,yearthreshold.5,yearthreshold.6,yearthreshold.7,yearthreshold.8,yearthreshold.9,yearthreshold.10,yearthreshold.11,yearthreshold.12,yearthreshold.13,yearthreshold.14,yearthreshold.15,yearthreshold.16,yearthreshold.17,yearthreshold.18,yearthreshold.19,yearthreshold.20,yearthreshold.21
1a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
2a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
3a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
4a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
5a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
6a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
7a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
8a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
9a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
10a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
